samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	project	groupID	run
PROJECT_SQUID_010060_Fa_M_PE_289_WT	0.035921	99.3	3.33	0.5387076	78.1	1.8974	76.3121	14.1475	7.6429	98.4962	78.2096	61.0931	0.879394	1.257143	63.8	PROJECT_SQUID	PROJECT_SQUID-01-0060-TS	180724_M00146_0081_000000000-D4KDT
PROJECT_SQUID_010064_Lu_M_PE_273_WT	0.031381	99.6	1.896	0.4719958	74.9	7.0696	40.8887	39.0081	13.0335	97.1164	47.9583	35.9535	1.215418	1.220588	30.7	PROJECT_SQUID	PROJECT_SQUID-01-0064-TS	180724_M00146_0081_000000000-D4KDT
PROJECT_SQUID_010118_Ut_P_PE_310_WT	0.045273	99.6	1.786	0.6810402	80.6	7.8675	38.8763	38.5749	14.6813	97.872	46.7438	37.7013	1.012725	0.985119	30.5	PROJECT_SQUID	PROJECT_SQUID-01-0118-TS	180517_M00753_0047_000000000-D3WJ3
PROJECT_SQUID_010118_Ut_P_PE_313_WT	0.078356	99.6	2.659	1.1791288	85.3	4.0903	59.6771	24.8446	11.3879	97.4614	63.7674	54.4033	1.014501	1.012346	59	PROJECT_SQUID	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_SQUID_010124_Ov_M_PE_284_WT	0.039207	99.9	1.73	0.5914368	75.5	9.0891	15.6037	55.4265	19.8808	97.2083	24.6928	18.6543	1.101495	0.923617	4.4	PROJECT_SQUID	PROJECT_SQUID-01-0124-TS	180517_M00753_0047_000000000-D3WJ3
PROJECT_SQUID_010124_Ov_M_PE_348_WT	0.087274	99.4	3.877	1.310076	89.3	1.7379	72.6099	14.4778	11.1744	95.6256	74.3478	66.4296	0.847397	1.586822	76.6	PROJECT_SQUID	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_SQUID_010128_Ut_P_PE_302_WT	0.073383	99.8	1.485	1.1069206	84.8	9.3614	25.9012	49.4927	15.2447	98.0814	35.2626	29.933	0.910909	0.837143	18.2	PROJECT_SQUID	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_SQUID_010137_Ov_P_PE_286_WT	0.04153	99.8	1.712	0.6264688	75.7	12.3496	22.3261	48.3325	16.9918	98.3233	34.6757	26.2788	0.907361	0.983333	9.5	PROJECT_SQUID	PROJECT_SQUID-01-0137-TS	180517_M00753_0047_000000000-D3WJ3
PROJECT_SQUID_010137_Ov_P_PE_332_WT	0.037842	99.3	2.849	0.5676392	88.1	2.5183	74.6397	14.2325	8.6095	98.1471	77.158	68.0025	0.795314	1.03442	78.2	PROJECT_SQUID	180423	180507_M00753_0046_000000000-D3T43
PROJECT_SQUID_010192_Fa_M_PE_330_WT	0.032842	99.9	1.333	0.495582	85.5	12.2735	18.2095	48.3087	21.2083	97.2977	30.483	26.0743	0.777778	0.893491	8.5	PROJECT_SQUID	180423	180507_M00753_0046_000000000-D3T43
PROJECT_SQUID_010208_Ut_P_PE_345_WT	0.032916	99.4	3.775	0.494072	86.5	0.4062	86.8607	6.5041	6.229	99.4269	87.2669	75.4908	1.258264	0.567164	89.7	PROJECT_SQUID	PROJECT_SQUID-01-0208-TS	180724_M00146_0081_000000000-D4KDT
PROJECT_SQUID_010213_Ov_M_PE_306_WT	0.038938	99.6	2.482	0.58588	80.3	4.9079	60.8622	24.6973	9.5326	98.0787	65.7701	52.8448	0.988617	2.596244	59.3	PROJECT_SQUID	PROJECT_SQUID-01-0213-TS	180724_M00146_0081_000000000-D4KDT
